title,price,price_raw,location,link,scraped_at,source,bedrooms,bathrooms,clean_location,price_category,price_per_bedroom
ONE-OF-A-KIND COMMUNITY! UP TO 6WEEKS FREE!,2496,"$2,496",THE COLONY,https://dallas.craigslist.org/ndf/apa/d/the-colony-one-of-kind-community-up-to/7928492827.html,2026-04-18T06:24:04.443895,craigslist,,,The Colony,Luxury,
EXCEPTIONAL ELEVATED LIVING! UP TO 6 WEEKS FREE!,1760,"$1,760",THE COLONY,https://dallas.craigslist.org/ndf/apa/d/the-colony-exceptional-elevated-living/7928492785.html,2026-04-18T06:24:04.443968,craigslist,,,The Colony,Premium,
UNMATCHED AMENITIES ~  UP TO 6 WEEKS FREE!,1966,"$1,966",THE COLONY,https://dallas.craigslist.org/ndf/apa/d/the-colony-unmatched-amenities-up-to/7928492728.html,2026-04-18T06:24:04.444006,craigslist,,,The Colony,Premium,
"Recycling, Covered Parking, Ceiling Fan",825,$825,"7610 Skillman St, Dallas, TX",https://dallas.craigslist.org/dal/apa/d/dallas-recycling-covered-parking/7927603324.html,2026-04-18T06:24:04.444041,craigslist,,,"7610 Skillman St, Dallas",Mid-Range,
Resort-Style Living! Your Ultimate Escape!,2066,"$2,066",Farmers Branch/Las Colinas/Coppell,https://dallas.craigslist.org/ndf/apa/d/dallas-resort-style-living-your/7928492655.html,2026-04-18T06:24:04.444076,craigslist,,,Farmers Branch/Las Colinas/Coppell,Luxury,
Modern 1 Bedroom 1 Bath Townhome Ready for Move-In!,1280,"$1,280","3130 Lombardy Ln, Dallas, TX",https://dallas.craigslist.org/ndf/apa/d/dallas-modern-bedroom-bath-townhome/7928492626.html,2026-04-18T06:24:04.444111,craigslist,1.0,1.0,"3130 Lombardy Ln, Dallas",Premium,1280.0
Your Ultimate Escape!,1508,"$1,508",Farmers Branch/Las Colinas/Coppell,https://dallas.craigslist.org/ndf/apa/d/dallas-your-ultimate-escape/7928492580.html,2026-04-18T06:24:04.444146,craigslist,,,Farmers Branch/Las Colinas/Coppell,Premium,
High Rise ~ It’s All at Your Fingertips ~ Up to 10 Weeks FREE,3565,"$3,565",Turtle Creek/ Dallas,https://dallas.craigslist.org/dal/apa/d/dallas-high-rise-its-all-at-your/7928492370.html,2026-04-18T06:24:04.444181,craigslist,,,Turtle Creek/ Dallas,Luxury,
DAZZLING HIGH-RISE ~ UP TO 10 WKS FREE,3087,"$3,087",Turtle Creek/ Dallas,https://dallas.craigslist.org/dal/apa/d/dallas-dazzling-high-rise-up-to-10-wks/7928492317.html,2026-04-18T06:24:04.444218,craigslist,,,Turtle Creek/ Dallas,Luxury,
"Complimentary Amazon HUB Parcel Locker, Spacious Closets, Clubhouse",1025,"$1,025","2801 Turnberry Dr, Arlington, TX",https://dallas.craigslist.org/mdf/apa/d/arlington-complimentary-amazon-hub/7925006719.html,2026-04-18T06:24:04.444255,craigslist,,,"2801 Turnberry Dr, Arlington",Mid-Range,
The Epitome of Modern Luxury ~ 6 Weeks FREE,2313,"$2,313",WEST VILLAGE/UPTOWN/DALLAS,https://dallas.craigslist.org/dal/apa/d/dallas-the-epitome-of-modern-luxury/7928492235.html,2026-04-18T06:24:04.444291,craigslist,,,West Village/Uptown/Dallas,Luxury,
24/7 CONCIERGE/ STUNNING DOWNTOWN VIEWS - 6 WEEKS FREE,3462,"$3,462",WEST VILLAGE/UPTOWN/DALLAS,https://dallas.craigslist.org/dal/apa/d/dallas-24-concierge-stunning-downtown/7928492179.html,2026-04-18T06:24:04.444327,craigslist,,,West Village/Uptown/Dallas,Luxury,
"Separate Dining Area, Online Service requests, 1bd 1ba",1040,"$1,040","14000 Esperanza Road, Dallas, TX",https://dallas.craigslist.org/ndf/apa/d/dallas-separate-dining-area-online/7925845873.html,2026-04-18T06:24:04.444364,craigslist,1.0,1.0,"14000 Esperanza Road, Dallas",Mid-Range,1040.0
THOUGHTFULLY DESIGNED ~ EVERY NEED ANTICIPATED!,4242,"$4,242",Uptown Dallas,https://dallas.craigslist.org/dal/apa/d/dallas-thoughtfully-designed-every-need/7928491950.html,2026-04-18T06:24:04.444401,craigslist,,,Uptown Dallas,Luxury,
"Cable ready, Ceiling fans, Window coverings",825,$825,"3565 Timberglen Rd, Dallas, TX",https://dallas.craigslist.org/ndf/apa/d/dallas-cable-ready-ceiling-fans-window/7922602527.html,2026-04-18T06:24:04.444435,craigslist,,,"3565 Timberglen Rd, Dallas",Mid-Range,
TIMELESS CHARM ~ ULTIMATE CONVENIENCE ~ UP TO 8 WKS FREE,1750,"$1,750",LEWISVILLE / THE COLONY / CARROLLTON,https://dallas.craigslist.org/ndf/apa/d/the-colony-timeless-charm-ultimate/7928489151.html,2026-04-18T06:24:04.444473,craigslist,,,Lewisville / The Colony / Carrollton,Premium,
"BBQ/Picnic Area, Air Conditioner, Pool",960,$960,"4328 Duck Creek Dr, Garland, TX",https://dallas.craigslist.org/mdf/apa/d/garland-bbq-picnic-area-air-conditioner/7926153937.html,2026-04-18T06:24:04.444511,craigslist,,,"4328 Duck Creek Dr, Garland",Mid-Range,
"Ceiling Fan, Window Coverings, Dishwasher",850,$850,"1400 Shady Ln, Bedford, TX",https://dallas.craigslist.org/mdf/apa/d/bedford-ceiling-fan-window-coverings/7927541236.html,2026-04-18T06:24:04.444547,craigslist,,,"1400 Shady Ln, Bedford",Mid-Range,
SENSATIONAL HIGH END INTERIOR FINISHES~MODERN CONVENIENCE! MONTH FREE,2465,"$2,465",MEDICAL DISTRICT / UPTOWN / OAK LAWN,https://dallas.craigslist.org/dal/apa/d/dallas-sensational-high-end-interior/7928488968.html,2026-04-18T06:24:04.444583,craigslist,,,Medical District / Uptown / Oak Lawn,Luxury,
"Rooftop Lounge – Vintage Building, Hardwood Floors, 1 Fitness Centers",1285,"$1,285","4123 San Jacinto St, Dallas, TX",https://dallas.craigslist.org/dal/apa/d/dallas-rooftop-lounge-vintage-building/7927821163.html,2026-04-18T06:24:04.444618,craigslist,,,"4123 San Jacinto St, Dallas",Premium,
"899!! ¡Especial de mudanza, ven a visitarnos!",1715,"$1,715","11457 Dennis Rd, Dallas, TX",https://dallas.craigslist.org/dal/apa/d/dallas-899-especial-de-mudanza-ven/7920265944.html,2026-04-18T06:24:04.444655,craigslist,,,"11457 Dennis Rd, Dallas",Premium,
House for rent,1400,"$1,400",Haltom City,https://dallas.craigslist.org/ftw/apa/d/haltom-city-house-for-rent/7926975077.html,2026-04-18T06:24:04.444691,craigslist,,,Haltom City,Premium,
AMAZING PRICE! The Lifestyle You Deserve ~ Plano ISD + 2 Car Garage,2019,"$2,019",Dallas,https://dallas.craigslist.org/ndf/apa/d/dallas-amazing-price-the-lifestyle-you/7928490308.html,2026-04-18T06:24:04.444727,craigslist,,,Dallas,Luxury,
Modern Indulgences ~ Intricate Details ~ Elegant Atmosphere,1955,"$1,955",North Richland Hills,https://dallas.craigslist.org/mdf/apa/d/north-richland-hills-modern-indulgences/7928490259.html,2026-04-18T06:24:04.444762,craigslist,,,North Richland Hills,Premium,
"Spacious Closets, Smoke-Free Buildings Available, Dishwasher",950,$950,"595 S Old Orchard Ln, Lewisville, TX",https://dallas.craigslist.org/ndf/apa/d/lewisville-spacious-closets-smoke-free/7922444670.html,2026-04-18T06:24:04.444798,craigslist,,,"595 S Old Orchard Ln, Lewisville",Mid-Range,
"Month-to-Month Flexibility - No Lease, No Deposit, No Long Commitment!",1689,"$1,689","380 W Lyndon B Johnson Fwy, Irving, TX",https://dallas.craigslist.org/ndf/apa/d/irving-month-to-month-flexibility-no/7927875940.html,2026-04-18T06:24:04.444834,craigslist,,,"380 W Lyndon B Johnson Fwy, Irving",Premium,
Comfort. Convenience. + Plano ISD + 2 Car Garage,2019,"$2,019",Dallas,https://dallas.craigslist.org/ndf/apa/d/dallas-comfort-convenience-plano-isd/7928490195.html,2026-04-18T06:24:04.444869,craigslist,,,Dallas,Luxury,
SENSATIONAL HIGH END INTERIOR FINISHES~MODERN CONVENIENCE! MONTH FREE,1400,"$1,400",MEDICAL DISTRICT / UPTOWN / OAK LAWN,https://dallas.craigslist.org/dal/apa/d/dallas-sensational-high-end-interior/7928487280.html,2026-04-18T06:24:04.444903,craigslist,,,Medical District / Uptown / Oak Lawn,Premium,
The Height of Refined Living ~ Luxury Second Chance Leasing,1898,"$1,898",North Richland Hills,https://dallas.craigslist.org/mdf/apa/d/north-richland-hills-the-height-of/7928489999.html,2026-04-18T06:24:04.444960,craigslist,,,North Richland Hills,Premium,
"1BD 1BA, Business Center, Digital Room Key",1699,"$1,699","9020 Rasor Boulevard, Plano, TX",https://dallas.craigslist.org/ndf/apa/d/plano-1bd-1ba-business-center-digital/7927474248.html,2026-04-18T06:24:04.445033,craigslist,1.0,1.0,"9020 Rasor Boulevard, Plano",Premium,1699.0
Discover the Luxury of Location,2125,"$2,125",Uptown/ Oaklawn/ Highland Park,https://dallas.craigslist.org/dal/apa/d/dallas-discover-the-luxury-of-location/7928489675.html,2026-04-18T06:24:04.445073,craigslist,,,Uptown/ Oaklawn/ Highland Park,Luxury,
"Get Exactly What You Want - Weekly Rates, No Deposit!",399,$399,"6801 K Ave, Plano, TX",https://dallas.craigslist.org/ndf/apa/d/plano-get-exactly-what-you-want-weekly/7921852120.html,2026-04-18T06:24:04.445110,craigslist,,,"6801 K Ave, Plano",Budget,
Discover the Exceptional ~ Live Where the Action Is,2270,"$2,270",Turtle Creek/ Dallas,https://dallas.craigslist.org/dal/apa/d/dallas-discover-the-exceptional-live/7928489495.html,2026-04-18T06:24:04.445147,craigslist,,,Turtle Creek/ Dallas,Luxury,
"Hurry! Only 5 Units Left - No Deposit, No Lease",1507,"$1,507","12745 N Fwy, Fort Worth, TX",https://dallas.craigslist.org/ftw/apa/d/fort-worth-hurry-only-units-left-no/7927527986.html,2026-04-18T06:24:04.445182,craigslist,,,"12745 N Fwy, Fort Worth",Premium,
STUNNING HISTORIC ELEGANCE W/ UP TO 6 WEEKS FREE,3316,"$3,316",Uptown/ Oaklawn/ Highland Park,https://dallas.craigslist.org/dal/apa/d/dallas-stunning-historic-elegance-up-to/7928489272.html,2026-04-18T06:24:04.445218,craigslist,,,Uptown/ Oaklawn/ Highland Park,Luxury,
SUNLIT SPACES ~ HIGHLY DESIRED LOCATION,1280,"$1,280",Las Colinas/ Valley Ranch/ Coppell,https://dallas.craigslist.org/mdf/apa/d/irving-sunlit-spaces-highly-desired/7928489023.html,2026-04-18T06:24:04.445252,craigslist,,,Las Colinas/ Valley Ranch/ Coppell,Premium,
PEACEFUL RETREAT ~ PREMIER NEIGHBORHOOD,1260,"$1,260",Las Colinas/ Valley Ranch/ Coppell,https://dallas.craigslist.org/mdf/apa/d/irving-peaceful-retreat-premier/7928489000.html,2026-04-18T06:24:04.445287,craigslist,,,Las Colinas/ Valley Ranch/ Coppell,Premium,
1st month only $599,1300,"$1,300","2333 Escalante Ave, Fort Worth, TX",https://dallas.craigslist.org/ftw/apa/d/fort-worth-1st-month-only-599/7927596423.html,2026-04-18T06:24:04.445323,craigslist,,,"2333 Escalante Ave, Fort Worth",Premium,
"Energy-Efficient Appliances, Gated Community, Public Transportation",999,$999,"6603 E Lovers Ln, Dallas, TX",https://dallas.craigslist.org/dal/apa/d/dallas-energy-efficient-appliances/7925130643.html,2026-04-18T06:24:04.445359,craigslist,,,"6603 E Lovers Ln, Dallas",Mid-Range,
"Range, Controlled Access, Recycling",1097,"$1,097","7310 Marvin D. Love Fwy, Dallas, TX",https://dallas.craigslist.org/dal/apa/d/dallas-range-controlled-access-recycling/7926710533.html,2026-04-18T06:24:04.445395,craigslist,,,"7310 Marvin D. Love Fwy, Dallas",Mid-Range,
"Jogging Trails ~Walk to Bath House Cultural Center, & Dallas Arboretum",1738,"$1,738",White Rock Lake/ Tenison Park/ Dallas,https://dallas.craigslist.org/dal/apa/d/dallas-jogging-trails-walk-to-bath/7928488905.html,2026-04-18T06:24:04.445453,craigslist,,,White Rock Lake/ Tenison Park/ Dallas,Premium,
"Close to Freeway, Cable Ready, Fireplace",825,$825,"7610 Skillman St, Dallas, TX",https://dallas.craigslist.org/dal/apa/d/dallas-close-to-freeway-cable-ready/7928488891.html,2026-04-18T06:24:04.445492,craigslist,,,"7610 Skillman St, Dallas",Mid-Range,
"JOGGING TRAIL, PARK, BEAUTIFUL CANAL VIEWS",2050,"$2,050",Las Colinas/ Valley Ranch/ Coppell,https://dallas.craigslist.org/mdf/apa/d/irving-jogging-trail-park-beautiful/7928488808.html,2026-04-18T06:24:04.445530,craigslist,,,Las Colinas/ Valley Ranch/ Coppell,Luxury,
"Floor to Ceiling Windows, Heated Pool",2244,"$2,244",North Dallas,https://dallas.craigslist.org/dal/apa/d/dallas-floor-to-ceiling-windows-heated/7928488766.html,2026-04-18T06:24:04.445578,craigslist,,,North Dallas,Luxury,
"Spacious, w/d connections, assigned covered parking, fireplace & more!",1350,"$1,350",Lake Highlands,https://dallas.craigslist.org/dal/apa/d/dallas-spacious-d-connections-assigned/7928488762.html,2026-04-18T06:24:04.445615,craigslist,,,Lake Highlands,Premium,
SOUGHT AFTER LOCATION ~ LUXE AMENITIES,1296,"$1,296",Grapevine/ Roanoke/ Keller,https://dallas.craigslist.org/ftw/apa/d/fort-worth-sought-after-location-luxe/7928488704.html,2026-04-18T06:24:04.445651,craigslist,,,Grapevine/ Roanoke/ Keller,Premium,
SOUGHT AFTER LOCATION ~ LUXE AMENITIES + NORTHWEST ISD,1425,"$1,425",Grapevine/ Roanoke/ Keller,https://dallas.craigslist.org/ftw/apa/d/fort-worth-sought-after-location-luxe/7928488663.html,2026-04-18T06:24:04.445688,craigslist,,,Grapevine/ Roanoke/ Keller,Premium,
"Refrigerator, Near Public Transportation, Electronic Thermostat",1130,"$1,130","1455 N. Perry Rd, Carrollton, TX",https://dallas.craigslist.org/ndf/apa/d/carrollton-refrigerator-near-public/7925129396.html,2026-04-18T06:24:04.445723,craigslist,,,"1455 N. Perry Rd, Carrollton",Mid-Range,
TIMELESS CHARM ~ ULTIMATE CONVENIENCE,2290,"$2,290",DALLAS/WEST VILLAGE,https://dallas.craigslist.org/dal/apa/d/dallas-timeless-charm-ultimate/7928488591.html,2026-04-18T06:24:04.445758,craigslist,,,Dallas/West Village,Luxury,
"Updated Interiors, BBQ/Picnic Area, Washer/Dryer Connections",1445,"$1,445","2333 Escalante Ave, Fort Worth, TX",https://dallas.craigslist.org/ftw/apa/d/fort-worth-updated-interiors-bbq-picnic/7928488557.html,2026-04-18T06:24:04.445795,craigslist,,,"2333 Escalante Ave, Fort Worth",Premium,
LUXURY LIVING ~ PRESTIGIOUS SETTING,2487,"$2,487",Dallas,https://dallas.craigslist.org/dal/apa/d/dallas-luxury-living-prestigious-setting/7928488537.html,2026-04-18T06:24:04.445830,craigslist,,,Dallas,Luxury,
Chic Dallas Uptown Living!,2447,"$2,447",DALLAS/WEST VILLAGE,https://dallas.craigslist.org/dal/apa/d/dallas-chic-dallas-uptown-living/7928488490.html,2026-04-18T06:24:04.445865,craigslist,,,Dallas/West Village,Luxury,
"Onsite management, Laundry facility, Heat included",700,$700,"14018 Brookgreen Drive, Dallas, TX",https://dallas.craigslist.org/ndf/apa/d/dallas-onsite-management-laundry/7926727892.html,2026-04-18T06:24:04.445901,craigslist,,,"14018 Brookgreen Drive, Dallas",Budget,
LUXURY LIVING ~ PRESTIGIOUS SETTING W/ UP TO 6 WEEKS FREE,3903,"$3,903",Uptown/ Oaklawn/ Highland Park,https://dallas.craigslist.org/dal/apa/d/dallas-luxury-living-prestigious/7928488351.html,2026-04-18T06:24:04.445938,craigslist,,,Uptown/ Oaklawn/ Highland Park,Luxury,
"Flat Screen TVs, Elevator, Microwave",291,$291,north DFW,https://dallas.craigslist.org/ndf/apa/d/dallas-flat-screen-tvs-elevator/7926259122.html,2026-04-18T06:24:04.445975,craigslist,,,North Dfw,Budget,
WESTERN CHARM ~ LUXE AMENITIES - MONTH FREE,1225,"$1,225",Grapevine/ Roanoke/ Keller,https://dallas.craigslist.org/ftw/apa/d/fort-worth-western-charm-luxe-amenities/7928488167.html,2026-04-18T06:24:04.446012,craigslist,,,Grapevine/ Roanoke/ Keller,Premium,
"1 BD, Pet Waste Stations, Patio or Balcony",949,$949,"350 Shady Ln Dr, Fort Worth, TX",https://dallas.craigslist.org/ftw/apa/d/fort-worth-bd-pet-waste-stations-patio/7923058885.html,2026-04-18T06:24:04.446048,craigslist,1.0,,"350 Shady Ln Dr, Fort Worth",Mid-Range,949.0
Unbeatable Ambiance ~ Floor to Ceiling Windows,3020,"$3,020",Dallas,https://dallas.craigslist.org/dal/apa/d/dallas-unbeatable-ambiance-floor-to/7928488055.html,2026-04-18T06:24:04.446085,craigslist,,,Dallas,Luxury,
"Walk to Trendy Bars, Restaurants, & the Dallas Museum of Art",3466,"$3,466",Dallas,https://dallas.craigslist.org/dal/apa/d/dallas-walk-to-trendy-bars-restaurants/7928487971.html,2026-04-18T06:24:04.446121,craigslist,,,Dallas,Luxury,
"Disability access, Window coverings, 1/bd 1/ba",775,$775,"2501 Webb Chapel Ext, Dallas, TX",https://dallas.craigslist.org/ndf/apa/d/dallas-disability-access-window/7923188216.html,2026-04-18T06:24:04.446159,craigslist,,,"2501 Webb Chapel Ext, Dallas",Budget,
VICTORY PARK HI RISE W/ CONCIERGE AND HEATED POOL,2938,"$2,938",Dallas,https://dallas.craigslist.org/dal/apa/d/dallas-victory-park-hi-rise-concierge/7928487920.html,2026-04-18T06:24:04.446197,craigslist,,,Dallas,Luxury,
Elevate Your LifeSTYLE ~ Floor to Ceiling Windows ~ Up to 6 WEEKS FREE,1840,"$1,840",North Dallas,https://dallas.craigslist.org/dal/apa/d/dallas-elevate-your-lifestyle-floor-to/7928487775.html,2026-04-18T06:24:04.446235,craigslist,,,North Dallas,Premium,
SERENE SOPHISTICATION ~ COVETED ADDRESS,1600,"$1,600",Las Colinas/ Valley Ranch/ Coppell,https://dallas.craigslist.org/mdf/apa/d/irving-serene-sophistication-coveted/7928487713.html,2026-04-18T06:24:04.446273,craigslist,,,Las Colinas/ Valley Ranch/ Coppell,Premium,
"Skyline Views, Heated Pool ~ Up to 6 WEEKS FREE!",1718,"$1,718",North Dallas,https://dallas.craigslist.org/dal/apa/d/dallas-skyline-views-heated-pool-up-to/7928487663.html,2026-04-18T06:24:04.446309,craigslist,,,North Dallas,Premium,
"Breakfast bar, spacious living room and bedrooms, w/d connections!",1375,"$1,375",Lake Highlands,https://dallas.craigslist.org/dal/apa/d/dallas-breakfast-bar-spacious-living/7926973943.html,2026-04-18T06:24:04.446347,craigslist,,,Lake Highlands,Premium,
Residences with Perspective ~ Credit issues-ok - Second Chance,2050,"$2,050",Las Colinas/ Valley Ranch/ Coppell,https://dallas.craigslist.org/mdf/apa/d/irving-residences-with-perspective/7928487506.html,2026-04-18T06:24:04.446384,craigslist,,,Las Colinas/ Valley Ranch/ Coppell,Luxury,
Ready to lease! 2 bed 2 bath home. Check us out!,1499,"$1,499",Dallas - Dallas,https://dallas.craigslist.org/dal/apa/d/balch-springs-ready-to-lease-bed-bath/7926704067.html,2026-04-18T06:24:04.446420,craigslist,2.0,2.0,Dallas - Dallas,Premium,750.0
"Ceiling Fans, Online Resident Portal, Pet-friendly",1145,"$1,145",north DFW,https://dallas.craigslist.org/ndf/apa/d/rockwall-ceiling-fans-online-resident/7922400547.html,2026-04-18T06:24:04.446456,craigslist,,,North Dfw,Mid-Range,
2 level 1 bedroom Townhome ready for move-in Call to schedule a  tour!,1285,"$1,285","3130 Lombardy Ln, Dallas, TX",https://dallas.craigslist.org/ndf/apa/d/dallas-level-bedroom-townhome-ready-for/7928035222.html,2026-04-18T06:24:04.446494,craigslist,1.0,,"3130 Lombardy Ln, Dallas",Premium,1285.0
"W/D Hookup, Fireplace, Walk-In Closet",825,$825,"7610 Skillman St, Dallas, TX",https://dallas.craigslist.org/dal/apa/d/dallas-d-hookup-fireplace-walk-in-closet/7927189470.html,2026-04-18T06:24:04.446531,craigslist,,,"7610 Skillman St, Dallas",Mid-Range,
"1/bd 1/ba, Situated in Bedford!, On-Site Management Team",1125,"$1,125","bedford,TX",https://dallas.craigslist.org/mdf/apa/d/bedford-bd-ba-situated-in-bedford-on/7920735498.html,2026-04-18T06:24:04.446569,craigslist,,,Bedford,Mid-Range,
"24-Hour On Call Emergency Maintenance, Soaking Tubs, Spacious Closets",1480,"$1,480","2801 Turnberry Dr, Arlington, TX",https://dallas.craigslist.org/mdf/apa/d/arlington-24-hour-on-call-emergency/7926597898.html,2026-04-18T06:24:04.446604,craigslist,,,"2801 Turnberry Dr, Arlington",Premium,
"Short-Term Stay, Long-Term Comfort - Special Offer!",1399,"$1,399","4505 N Interstate 35, Denton, TX",https://dallas.craigslist.org/ndf/apa/d/denton-short-term-stay-long-term/7926597277.html,2026-04-18T06:24:04.446643,craigslist,,,"4505 N Interstate 35, Denton",Premium,
Ready to Move? Ventana Ridge Offers Specials + $20 Gas Gift Cards!,1285,"$1,285","3130 Lombardy Ln, Dallas, TX",https://dallas.craigslist.org/ndf/apa/d/dallas-ready-to-move-ventana-ridge/7928485957.html,2026-04-18T06:24:04.446682,craigslist,,,"3130 Lombardy Ln, Dallas",Premium,
"Dive into Dallas's vibe! Perfect 1 bed, 1 bath location.",1150,"$1,150",Dallas,https://dallas.craigslist.org/dal/apa/d/dallas-dive-into-dallass-vibe-perfect/7926040042.html,2026-04-18T06:24:04.446718,craigslist,1.0,1.0,Dallas,Mid-Range,1150.0
Ideal location! Close to everything! 1 bed / 1 bath! 684 Sqft!,1540,"$1,540",Dallas,https://dallas.craigslist.org/dal/apa/d/dallas-ideal-location-close-to/7925231570.html,2026-04-18T06:24:04.446756,craigslist,1.0,1.0,Dallas,Premium,1540.0
Charming 3 Bedroom – Stylish & City Living,1499,"$1,499",The Link Apartments,https://dallas.craigslist.org/dal/apa/d/dallas-charming-bedroom-stylish-city/7922031882.html,2026-04-18T06:24:04.446797,craigslist,3.0,,The Link Apartments,Premium,500.0
"On-Site Maintenance, Refrigerator, Playground",945,$945,"4328 Duck Creek Dr, Garland, TX",https://dallas.craigslist.org/mdf/apa/d/garland-on-site-maintenance/7921968326.html,2026-04-18T06:24:04.446839,craigslist,,,"4328 Duck Creek Dr, Garland",Mid-Range,
"Spacious Closets, Resident Referral Program, Private Balcony or Patio",930,$930,"2700 Martin Dr, Bedford, TX",https://dallas.craigslist.org/mdf/apa/d/bedford-spacious-closets-resident/7925463722.html,2026-04-18T06:24:04.446876,craigslist,,,"2700 Martin Dr, Bedford",Mid-Range,
APPLY TODAY $25 APPLICATION / $599 1ST MONTH,1200,"$1,200","2333 Escalante Ave, Fort Worth, TX",https://dallas.craigslist.org/ftw/apa/d/fort-worth-apply-today-25-application/7928035213.html,2026-04-18T06:24:04.446913,craigslist,,,"2333 Escalante Ave, Fort Worth",Premium,
"Dog Park, Wi-Fi at Pool and Clubhouse, Laundry Facilities",1374,"$1,374","9050 Markville Drive, Dallas, TX",https://dallas.craigslist.org/dal/apa/d/dallas-dog-park-wi-fi-at-pool-and/7926247723.html,2026-04-18T06:24:04.446993,craigslist,,,"9050 Markville Drive, Dallas",Premium,
"Snuggle up with FIDO in our charming 1 bd, 1 ba! We're pet-friendly!",795,$795,Fort Worth,https://dallas.craigslist.org/ftw/apa/d/fort-worth-snuggle-up-with-fido-in-our/7927984897.html,2026-04-18T06:24:04.447054,craigslist,1.0,1.0,Fort Worth,Budget,795.0
"A Dallas gem! 2 bed, 1 bath in the city's best spot.",1915,"$1,915",Dallas,https://dallas.craigslist.org/dal/apa/d/dallas-dallas-gem-bed-bath-in-the-citys/7926472499.html,2026-04-18T06:24:04.447098,craigslist,2.0,1.0,Dallas,Premium,958.0
Picturesque views - right outside your window! Visit today!,1124,"$1,124",Dallas,https://dallas.craigslist.org/dal/apa/d/dallas-picturesque-views-right-outside/7926472462.html,2026-04-18T06:24:04.447137,craigslist,,,Dallas,Mid-Range,
